Observer;SessionID;Block;Shape;Gap;Unambiguious;Direction;Percept;Time
ASA97w;2017-05-17-12-58-18;1;cross-0500;0,0;neither;1;start;0,0
ASA97w;2017-05-17-12-58-18;1;cross-0500;0,0;neither;1;up;3,52500009537
ASA97w;2017-05-17-12-58-18;1;cross-0500;0,0;neither;1;unclear;3,67600011826
ASA97w;2017-05-17-12-58-18;1;cross-0500;0,0;neither;1;up;4,57700014114
ASA97w;2017-05-17-12-58-18;1;cross-0500;0,0;neither;1;right;22,7650001049
ASA97w;2017-05-17-12-58-18;1;cross-0500;0,0;neither;1;up;31,5799999237
ASA97w;2017-05-17-12-58-18;1;cross-0500;0,0;neither;1;right;55,3429999352
ASA97w;2017-05-17-12-58-18;1;cross-0500;0,0;neither;1;stop;60,003000021
ASA97w;2017-05-17-12-58-18;2;sphere-0500;0,15;neither;-1;start;0,0
ASA97w;2017-05-17-12-58-18;2;sphere-0500;0,15;neither;-1;right;4,41100001335
ASA97w;2017-05-17-12-58-18;2;sphere-0500;0,15;neither;-1;left;10,5720000267
ASA97w;2017-05-17-12-58-18;2;sphere-0500;0,15;neither;-1;right;23,8140001297
ASA97w;2017-05-17-12-58-18;2;sphere-0500;0,15;neither;-1;unclear;49,9830000401
ASA97w;2017-05-17-12-58-18;2;sphere-0500;0,15;neither;-1;left;50,2490000725
ASA97w;2017-05-17-12-58-18;2;sphere-0500;0,15;neither;-1;unclear;56,5120000839
ASA97w;2017-05-17-12-58-18;2;sphere-0500;0,15;neither;-1;right;56,5280001163
ASA97w;2017-05-17-12-58-18;2;sphere-0500;0,15;neither;-1;stop;60,0010001659
ASA97w;2017-05-17-12-58-18;3;sphere-0500;0,0;left;-1;start;0,0
ASA97w;2017-05-17-12-58-18;3;sphere-0500;0,0;left;-1;up;5,0110001564
ASA97w;2017-05-17-12-58-18;3;sphere-0500;0,0;left;-1;unclear;17,5020000935
ASA97w;2017-05-17-12-58-18;3;sphere-0500;0,0;left;-1;down;17,9700000286
ASA97w;2017-05-17-12-58-18;3;sphere-0500;0,0;left;-1;left;22,4279999733
ASA97w;2017-05-17-12-58-18;3;sphere-0500;0,0;left;-1;down;32,6820001602
ASA97w;2017-05-17-12-58-18;3;sphere-0500;0,0;left;-1;right;44,0199999809
ASA97w;2017-05-17-12-58-18;3;sphere-0500;0,0;left;-1;left;47,7440001965
ASA97w;2017-05-17-12-58-18;3;sphere-0500;0,0;left;-1;stop;60,0010001659
ASA97w;2017-05-17-12-58-18;4;cross-0500;0,0;left;1;start;0,0
ASA97w;2017-05-17-12-58-18;4;cross-0500;0,0;left;1;up;5,1970000267
ASA97w;2017-05-17-12-58-18;4;cross-0500;0,0;left;1;right;9,88800001144
ASA97w;2017-05-17-12-58-18;4;cross-0500;0,0;left;1;unclear;23,1809999943
ASA97w;2017-05-17-12-58-18;4;cross-0500;0,0;left;1;up;23,246999979
ASA97w;2017-05-17-12-58-18;4;cross-0500;0,0;left;1;right;36,2720000744
ASA97w;2017-05-17-12-58-18;4;cross-0500;0,0;left;1;up;42,7190001011
ASA97w;2017-05-17-12-58-18;4;cross-0500;0,0;left;1;right;50,4670000076
ASA97w;2017-05-17-12-58-18;4;cross-0500;0,0;left;1;stop;60,0020000935
ASA97w;2017-05-17-12-58-18;5;cross-0500;-0,15;neither;-1;start;0,0
ASA97w;2017-05-17-12-58-18;5;cross-0500;-0,15;neither;-1;right;2,12299990654
ASA97w;2017-05-17-12-58-18;5;cross-0500;-0,15;neither;-1;left;22,1289999485
ASA97w;2017-05-17-12-58-18;5;cross-0500;-0,15;neither;-1;up;38,8459999561
ASA97w;2017-05-17-12-58-18;5;cross-0500;-0,15;neither;-1;right;42,3680000305
ASA97w;2017-05-17-12-58-18;5;cross-0500;-0,15;neither;-1;up;59,0499999523
ASA97w;2017-05-17-12-58-18;5;cross-0500;-0,15;neither;-1;stop;60,001999855
ASA97w;2017-05-17-12-58-18;6;sphere-0500;0,15;left;1;start;0,0
ASA97w;2017-05-17-12-58-18;6;sphere-0500;0,15;left;1;up;4,80999994278
ASA97w;2017-05-17-12-58-18;6;sphere-0500;0,15;left;1;right;10,6549999714
ASA97w;2017-05-17-12-58-18;6;sphere-0500;0,15;left;1;up;15,9319999218
ASA97w;2017-05-17-12-58-18;6;sphere-0500;0,15;left;1;right;22,4609999657
ASA97w;2017-05-17-12-58-18;6;sphere-0500;0,15;left;1;unclear;22,6619999409
ASA97w;2017-05-17-12-58-18;6;sphere-0500;0,15;left;1;down;22,8450000286
ASA97w;2017-05-17-12-58-18;6;sphere-0500;0,15;left;1;left;26,9869999886
ASA97w;2017-05-17-12-58-18;6;sphere-0500;0,15;left;1;right;30,8459999561
ASA97w;2017-05-17-12-58-18;6;sphere-0500;0,15;left;1;unclear;43,0349998474
ASA97w;2017-05-17-12-58-18;6;sphere-0500;0,15;left;1;up;43,0690000057
ASA97w;2017-05-17-12-58-18;6;sphere-0500;0,15;left;1;right;47,1770000458
ASA97w;2017-05-17-12-58-18;6;sphere-0500;0,15;left;1;unclear;51,9519999027
ASA97w;2017-05-17-12-58-18;6;sphere-0500;0,15;left;1;left;51,9689998627
ASA97w;2017-05-17-12-58-18;6;sphere-0500;0,15;left;1;stop;60,001999855
ASA97w;2017-05-17-12-58-18;7;cross-0500;0,15;neither;1;start;0,0
ASA97w;2017-05-17-12-58-18;7;cross-0500;0,15;neither;1;left;3,60899996758
ASA97w;2017-05-17-12-58-18;7;cross-0500;0,15;neither;1;right;23,1470000744
ASA97w;2017-05-17-12-58-18;7;cross-0500;0,15;neither;1;left;36,3229999542
ASA97w;2017-05-17-12-58-18;7;cross-0500;0,15;neither;1;unclear;54,8080000877
ASA97w;2017-05-17-12-58-18;7;cross-0500;0,15;neither;1;up;55,4430000782
ASA97w;2017-05-17-12-58-18;7;cross-0500;0,15;neither;1;unclear;56,5950000286
ASA97w;2017-05-17-12-58-18;7;cross-0500;0,15;neither;1;down;56,8289999962
