Observer;SessionID;Block;Shape;Gap;Unambiguious;Direction;Percept;Time
BRS1994W;2017-10-26-09-03-40;1;sphere-0500;-0,15;right;-1;start;0,0
BRS1994W;2017-10-26-09-03-40;1;sphere-0500;-0,15;right;-1;left;6,81599998474
BRS1994W;2017-10-26-09-03-40;1;sphere-0500;-0,15;right;-1;unclear;6,99899983406
BRS1994W;2017-10-26-09-03-40;1;sphere-0500;-0,15;right;-1;left;8,28600001335
BRS1994W;2017-10-26-09-03-40;1;sphere-0500;-0,15;right;-1;unclear;8,46899986267
BRS1994W;2017-10-26-09-03-40;1;sphere-0500;-0,15;right;-1;left;10,4219999313
BRS1994W;2017-10-26-09-03-40;1;sphere-0500;-0,15;right;-1;unclear;10,6399998665
BRS1994W;2017-10-26-09-03-40;1;sphere-0500;-0,15;right;-1;up;12,0249998569
BRS1994W;2017-10-26-09-03-40;1;sphere-0500;-0,15;right;-1;unclear;12,2599999905
BRS1994W;2017-10-26-09-03-40;1;sphere-0500;-0,15;right;-1;up;13,7119998932
BRS1994W;2017-10-26-09-03-40;1;sphere-0500;-0,15;right;-1;unclear;13,9800000191
BRS1994W;2017-10-26-09-03-40;1;sphere-0500;-0,15;right;-1;left;14,9649999142
BRS1994W;2017-10-26-09-03-40;1;sphere-0500;-0,15;right;-1;unclear;15,1989998817
BRS1994W;2017-10-26-09-03-40;1;sphere-0500;-0,15;right;-1;up;17,0349998474
BRS1994W;2017-10-26-09-03-40;1;sphere-0500;-0,15;right;-1;unclear;17,2849998474
BRS1994W;2017-10-26-09-03-40;1;sphere-0500;-0,15;right;-1;up;19,1900000572
BRS1994W;2017-10-26-09-03-40;1;sphere-0500;-0,15;right;-1;unclear;19,4229998589
BRS1994W;2017-10-26-09-03-40;1;sphere-0500;-0,15;right;-1;up;21,2279999256
BRS1994W;2017-10-26-09-03-40;1;sphere-0500;-0,15;right;-1;unclear;21,4279999733
BRS1994W;2017-10-26-09-03-40;1;sphere-0500;-0,15;right;-1;left;23,5490000248
BRS1994W;2017-10-26-09-03-40;1;sphere-0500;-0,15;right;-1;unclear;23,75
BRS1994W;2017-10-26-09-03-40;1;sphere-0500;-0,15;right;-1;left;25,753000021
BRS1994W;2017-10-26-09-03-40;1;sphere-0500;-0,15;right;-1;unclear;25,9539999962
BRS1994W;2017-10-26-09-03-40;1;sphere-0500;-0,15;right;-1;up;27,1210000515
BRS1994W;2017-10-26-09-03-40;1;sphere-0500;-0,15;right;-1;unclear;27,2890000343
BRS1994W;2017-10-26-09-03-40;1;sphere-0500;-0,15;right;-1;up;28,6239998341
BRS1994W;2017-10-26-09-03-40;1;sphere-0500;-0,15;right;-1;unclear;28,8259999752
BRS1994W;2017-10-26-09-03-40;1;sphere-0500;-0,15;right;-1;left;29,7259998322
BRS1994W;2017-10-26-09-03-40;1;sphere-0500;-0,15;right;-1;unclear;29,9099998474
BRS1994W;2017-10-26-09-03-40;1;sphere-0500;-0,15;right;-1;up;31,0789999962
BRS1994W;2017-10-26-09-03-40;1;sphere-0500;-0,15;right;-1;unclear;31,3139998913
BRS1994W;2017-10-26-09-03-40;1;sphere-0500;-0,15;right;-1;left;32,1480000019
BRS1994W;2017-10-26-09-03-40;1;sphere-0500;-0,15;right;-1;unclear;32,3320000172
BRS1994W;2017-10-26-09-03-40;1;sphere-0500;-0,15;right;-1;left;33,5669999123
BRS1994W;2017-10-26-09-03-40;1;sphere-0500;-0,15;right;-1;unclear;33,7669999599
BRS1994W;2017-10-26-09-03-40;1;sphere-0500;-0,15;right;-1;up;34,7029998302
BRS1994W;2017-10-26-09-03-40;1;sphere-0500;-0,15;right;-1;unclear;34,9370000362
BRS1994W;2017-10-26-09-03-40;1;sphere-0500;-0,15;right;-1;left;36,4240000248
BRS1994W;2017-10-26-09-03-40;1;sphere-0500;-0,15;right;-1;unclear;36,7079999447
BRS1994W;2017-10-26-09-03-40;1;sphere-0500;-0,15;right;-1;up;38,6119999886
BRS1994W;2017-10-26-09-03-40;1;sphere-0500;-0,15;right;-1;unclear;38,878000021
BRS1994W;2017-10-26-09-03-40;1;sphere-0500;-0,15;right;-1;left;39,6640000343
BRS1994W;2017-10-26-09-03-40;1;sphere-0500;-0,15;right;-1;unclear;39,9470000267
BRS1994W;2017-10-26-09-03-40;1;sphere-0500;-0,15;right;-1;up;42,1840000153
BRS1994W;2017-10-26-09-03-40;1;sphere-0500;-0,15;right;-1;unclear;42,4349999428
BRS1994W;2017-10-26-09-03-40;1;sphere-0500;-0,15;right;-1;left;43,1540000439
BRS1994W;2017-10-26-09-03-40;1;sphere-0500;-0,15;right;-1;unclear;43,4539999962
BRS1994W;2017-10-26-09-03-40;1;sphere-0500;-0,15;right;-1;left;44,5230000019
BRS1994W;2017-10-26-09-03-40;1;sphere-0500;-0,15;right;-1;unclear;44,7569999695
BRS1994W;2017-10-26-09-03-40;1;sphere-0500;-0,15;right;-1;left;45,9919998646
BRS1994W;2017-10-26-09-03-40;1;sphere-0500;-0,15;right;-1;unclear;46,2259998322
BRS1994W;2017-10-26-09-03-40;1;sphere-0500;-0,15;right;-1;up;48,7969999313
BRS1994W;2017-10-26-09-03-40;1;sphere-0500;-0,15;right;-1;unclear;49,0650000572
BRS1994W;2017-10-26-09-03-40;1;sphere-0500;-0,15;right;-1;up;50,6679999828
BRS1994W;2017-10-26-09-03-40;1;sphere-0500;-0,15;right;-1;unclear;50,9179999828
BRS1994W;2017-10-26-09-03-40;1;sphere-0500;-0,15;right;-1;left;52,6059999466
BRS1994W;2017-10-26-09-03-40;1;sphere-0500;-0,15;right;-1;unclear;52,8399999142
BRS1994W;2017-10-26-09-03-40;1;sphere-0500;-0,15;right;-1;left;54,0249998569
BRS1994W;2017-10-26-09-03-40;1;sphere-0500;-0,15;right;-1;unclear;54,2590000629
BRS1994W;2017-10-26-09-03-40;1;sphere-0500;-0,15;right;-1;left;55,7619998455
BRS1994W;2017-10-26-09-03-40;1;sphere-0500;-0,15;right;-1;unclear;55,9960000515
BRS1994W;2017-10-26-09-03-40;1;sphere-0500;-0,15;right;-1;left;57,6139998436
