Observer;SessionID;Block;Shape;Gap;Unambiguious;Direction;Percept;Time
ERK91m;2017-05-03-10-11-57;1;sphere-0500;0,0;neither;-1;start;0,0
ERK91m;2017-05-03-10-11-57;1;sphere-0500;0,0;neither;-1;right;2,3069999218
ERK91m;2017-05-03-10-11-57;1;sphere-0500;0,0;neither;-1;left;7,67499995232
ERK91m;2017-05-03-10-11-57;1;sphere-0500;0,0;neither;-1;right;9,65799999237
ERK91m;2017-05-03-10-11-57;1;sphere-0500;0,0;neither;-1;unclear;14,6659998894
ERK91m;2017-05-03-10-11-57;1;sphere-0500;0,0;neither;-1;left;14,7330000401
ERK91m;2017-05-03-10-11-57;1;sphere-0500;0,0;neither;-1;stop;60,0009999275
ERK91m;2017-05-03-10-11-57;2;cross-0500;0,0;neither;-1;start;0,0
ERK91m;2017-05-03-10-11-57;2;cross-0500;0,0;neither;-1;right;2,64199995995
ERK91m;2017-05-03-10-11-57;2;cross-0500;0,0;neither;-1;stop;60,0009999275
ERK91m;2017-05-03-10-11-57;3;cross-0500;0,0;right;1;start;0,0
ERK91m;2017-05-03-10-11-57;3;cross-0500;0,0;right;1;right;2,06699991226
ERK91m;2017-05-03-10-11-57;3;cross-0500;0,0;right;1;unclear;33,0009999275
ERK91m;2017-05-03-10-11-57;3;cross-0500;0,0;right;1;down;33,6510000229
ERK91m;2017-05-03-10-11-57;3;cross-0500;0,0;right;1;unclear;33,7839999199
ERK91m;2017-05-03-10-11-57;3;cross-0500;0,0;right;1;down;36,0260000229
ERK91m;2017-05-03-10-11-57;3;cross-0500;0,0;right;1;stop;60,0020000935
ERK91m;2017-05-03-10-11-57;4;sphere-0500;0,15;right;1;start;0,0
ERK91m;2017-05-03-10-11-57;4;sphere-0500;0,15;right;1;down;2,06599998474
ERK91m;2017-05-03-10-11-57;4;sphere-0500;0,15;right;1;right;23,5659999847
ERK91m;2017-05-03-10-11-57;4;sphere-0500;0,15;right;1;unclear;24,2159998417
ERK91m;2017-05-03-10-11-57;4;sphere-0500;0,15;right;1;down;24,2409999371
ERK91m;2017-05-03-10-11-57;4;sphere-0500;0,15;right;1;right;25,6159999371
ERK91m;2017-05-03-10-11-57;4;sphere-0500;0,15;right;1;down;30,8989999294
ERK91m;2017-05-03-10-11-57;4;sphere-0500;0,15;right;1;unclear;38,882999897
ERK91m;2017-05-03-10-11-57;4;sphere-0500;0,15;right;1;right;38,9830000401
ERK91m;2017-05-03-10-11-57;4;sphere-0500;0,15;right;1;stop;60,0
ERK91m;2017-05-03-10-11-57;5;cross-0500;-0,15;neither;1;start;0,0
ERK91m;2017-05-03-10-11-57;5;cross-0500;-0,15;neither;1;left;2,05900001526
ERK91m;2017-05-03-10-11-57;5;cross-0500;-0,15;neither;1;stop;60,0020000935
ERK91m;2017-05-03-10-11-57;6;sphere-0500;0,15;left;1;start;0,0
ERK91m;2017-05-03-10-11-57;6;sphere-0500;0,15;left;1;right;1,25
