Observer;SessionID;Block;Shape;Gap;Unambiguious;Direction;Percept;Time
GBS96w;2017-05-10-14-13-35;1;cross-0500;-0,15;left;1;start;0,0
GBS96w;2017-05-10-14-13-35;1;cross-0500;-0,15;left;1;right;2,1740000248
GBS96w;2017-05-10-14-13-35;1;cross-0500;-0,15;left;1;unclear;2,34100008011
GBS96w;2017-05-10-14-13-35;1;cross-0500;-0,15;left;1;right;3,39100003242
GBS96w;2017-05-10-14-13-35;1;cross-0500;-0,15;left;1;stop;60,0
GBS96w;2017-05-10-14-13-35;2;cross-0500;0,15;neither;-1;start;0,0
GBS96w;2017-05-10-14-13-35;2;cross-0500;0,15;neither;-1;right;2,40799999237
GBS96w;2017-05-10-14-13-35;2;cross-0500;0,15;neither;-1;unclear;21,625
GBS96w;2017-05-10-14-13-35;2;cross-0500;0,15;neither;-1;right;24,0420000553
GBS96w;2017-05-10-14-13-35;2;cross-0500;0,15;neither;-1;unclear;32,5669999123
GBS96w;2017-05-10-14-13-35;2;cross-0500;0,15;neither;-1;down;34,1010000706
GBS96w;2017-05-10-14-13-35;2;cross-0500;0,15;neither;-1;unclear;40,4089999199
GBS96w;2017-05-10-14-13-35;2;cross-0500;0,15;neither;-1;right;41,1089999676
GBS96w;2017-05-10-14-13-35;2;cross-0500;0,15;neither;-1;unclear;49,0260000229
GBS96w;2017-05-10-14-13-35;2;cross-0500;0,15;neither;-1;left;49,1340000629
GBS96w;2017-05-10-14-13-35;2;cross-0500;0,15;neither;-1;unclear;54,2419998646
GBS96w;2017-05-10-14-13-35;2;cross-0500;0,15;neither;-1;left;54,5260000229
GBS96w;2017-05-10-14-13-35;2;cross-0500;0,15;neither;-1;unclear;55,6419999599
GBS96w;2017-05-10-14-13-35;2;cross-0500;0,15;neither;-1;up;55,9839999676
GBS96w;2017-05-10-14-13-35;2;cross-0500;0,15;neither;-1;unclear;59,6670000553
GBS96w;2017-05-10-14-13-35;2;cross-0500;0,15;neither;-1;stop;60,0
GBS96w;2017-05-10-14-13-35;3;cross-0500;-0,15;right;-1;start;0,0
GBS96w;2017-05-10-14-13-35;3;cross-0500;-0,15;right;-1;right;1,125
GBS96w;2017-05-10-14-13-35;3;cross-0500;-0,15;right;-1;unclear;7,10800004005
