Observer;SessionID;Block;Shape;Gap;Unambiguious;Direction;Percept;Time
HLU81W;2017-05-10-10-02-06;1;sphere-0500;0,15;neither;-1;start;0,0
HLU81W;2017-05-10-10-02-06;1;sphere-0500;0,15;neither;-1;left;2,4319999218
HLU81W;2017-05-10-10-02-06;1;sphere-0500;0,15;neither;-1;unclear;2,5569999218
HLU81W;2017-05-10-10-02-06;1;sphere-0500;0,15;neither;-1;left;3,04800009727
HLU81W;2017-05-10-10-02-06;1;sphere-0500;0,15;neither;-1;right;15,3900001049
HLU81W;2017-05-10-10-02-06;1;sphere-0500;0,15;neither;-1;left;35,2070000172
HLU81W;2017-05-10-10-02-06;1;sphere-0500;0,15;neither;-1;stop;60,0069999695
HLU81W;2017-05-10-10-02-06;2;sphere-0500;-0,15;right;1;start;0,0
HLU81W;2017-05-10-10-02-06;2;sphere-0500;-0,15;right;1;right;1,18300008774
HLU81W;2017-05-10-10-02-06;2;sphere-0500;-0,15;right;1;unclear;9,02399992943
HLU81W;2017-05-10-10-02-06;2;sphere-0500;-0,15;right;1;down;9,742000103
HLU81W;2017-05-10-10-02-06;2;sphere-0500;-0,15;right;1;right;20,9249999523
HLU81W;2017-05-10-10-02-06;2;sphere-0500;-0,15;right;1;left;24,2160000801
HLU81W;2017-05-10-10-02-06;2;sphere-0500;-0,15;right;1;unclear;24,7750000954
HLU81W;2017-05-10-10-02-06;2;sphere-0500;-0,15;right;1;down;25,4750001431
HLU81W;2017-05-10-10-02-06;2;sphere-0500;-0,15;right;1;right;31,9839999676
HLU81W;2017-05-10-10-02-06;2;sphere-0500;-0,15;right;1;unclear;33,5420000553
HLU81W;2017-05-10-10-02-06;2;sphere-0500;-0,15;right;1;left;33,6000001431
HLU81W;2017-05-10-10-02-06;2;sphere-0500;-0,15;right;1;unclear;33,6670000553
HLU81W;2017-05-10-10-02-06;2;sphere-0500;-0,15;right;1;left;33,7669999599
HLU81W;2017-05-10-10-02-06;2;sphere-0500;-0,15;right;1;unclear;34,1340000629
HLU81W;2017-05-10-10-02-06;2;sphere-0500;-0,15;right;1;down;34,1500000954
HLU81W;2017-05-10-10-02-06;2;sphere-0500;-0,15;right;1;right;37,0169999599
HLU81W;2017-05-10-10-02-06;2;sphere-0500;-0,15;right;1;left;45,4010000229
HLU81W;2017-05-10-10-02-06;2;sphere-0500;-0,15;right;1;unclear;45,6930000782
HLU81W;2017-05-10-10-02-06;2;sphere-0500;-0,15;right;1;down;45,9090001583
HLU81W;2017-05-10-10-02-06;2;sphere-0500;-0,15;right;1;right;57,4839999676
HLU81W;2017-05-10-10-02-06;2;sphere-0500;-0,15;right;1;stop;60,0
HLU81W;2017-05-10-10-02-06;3;cross-0500;0,15;right;-1;start;0,0
HLU81W;2017-05-10-10-02-06;3;cross-0500;0,15;right;-1;left;3,50099992752
HLU81W;2017-05-10-10-02-06;3;cross-0500;0,15;right;-1;stop;60,0009999275
HLU81W;2017-05-10-10-02-06;4;sphere-0500;0,15;right;1;start;0,0
