Observer;SessionID;Block;Shape;Gap;Unambiguious;Direction;Percept;Time
HNB98w;2017-05-09-12-54-09;1;sphere-0500;-0,15;right;1;start;0,0
HNB98w;2017-05-09-12-54-09;1;sphere-0500;-0,15;right;1;down;7,04800009727
HNB98w;2017-05-09-12-54-09;1;sphere-0500;-0,15;right;1;unclear;11,5150001049
HNB98w;2017-05-09-12-54-09;1;sphere-0500;-0,15;right;1;right;11,8150000572
HNB98w;2017-05-09-12-54-09;1;sphere-0500;-0,15;right;1;left;14,4070000648
HNB98w;2017-05-09-12-54-09;1;sphere-0500;-0,15;right;1;unclear;20,1740000248
HNB98w;2017-05-09-12-54-09;1;sphere-0500;-0,15;right;1;right;20,2150001526
HNB98w;2017-05-09-12-54-09;1;sphere-0500;-0,15;right;1;down;24,1900000572
HNB98w;2017-05-09-12-54-09;1;sphere-0500;-0,15;right;1;unclear;28,8819999695
HNB98w;2017-05-09-12-54-09;1;sphere-0500;-0,15;right;1;right;28,9149999619
HNB98w;2017-05-09-12-54-09;1;sphere-0500;-0,15;right;1;unclear;33,1990001202
HNB98w;2017-05-09-12-54-09;1;sphere-0500;-0,15;right;1;left;33,2160000801
HNB98w;2017-05-09-12-54-09;1;sphere-0500;-0,15;right;1;right;37,8240001202
HNB98w;2017-05-09-12-54-09;1;sphere-0500;-0,15;right;1;unclear;44,1319999695
HNB98w;2017-05-09-12-54-09;1;sphere-0500;-0,15;right;1;up;44,1649999619
HNB98w;2017-05-09-12-54-09;1;sphere-0500;-0,15;right;1;unclear;49,7660000324
HNB98w;2017-05-09-12-54-09;1;sphere-0500;-0,15;right;1;right;49,8159999847
HNB98w;2017-05-09-12-54-09;1;sphere-0500;-0,15;right;1;left;55,7160000801
HNB98w;2017-05-09-12-54-09;1;sphere-0500;-0,15;right;1;unclear;57,8830001354
HNB98w;2017-05-09-12-54-09;1;sphere-0500;-0,15;right;1;right;57,9160001278
HNB98w;2017-05-09-12-54-09;1;sphere-0500;-0,15;right;1;stop;60,0069999695
HNB98w;2017-05-09-12-54-09;2;sphere-0500;0,0;left;1;start;0,0
HNB98w;2017-05-09-12-54-09;2;sphere-0500;0,0;left;1;up;1,97500014305
HNB98w;2017-05-09-12-54-09;2;sphere-0500;0,0;left;1;right;7,80100011826
HNB98w;2017-05-09-12-54-09;2;sphere-0500;0,0;left;1;unclear;15,1840000153
HNB98w;2017-05-09-12-54-09;2;sphere-0500;0,0;left;1;down;15,2920000553
HNB98w;2017-05-09-12-54-09;2;sphere-0500;0,0;left;1;unclear;21,2170000076
HNB98w;2017-05-09-12-54-09;2;sphere-0500;0,0;left;1;left;21,367000103
HNB98w;2017-05-09-12-54-09;2;sphere-0500;0,0;left;1;right;26,6600000858
HNB98w;2017-05-09-12-54-09;2;sphere-0500;0,0;left;1;unclear;29,4430000782
HNB98w;2017-05-09-12-54-09;2;sphere-0500;0,0;left;1;left;30,5010001659
HNB98w;2017-05-09-12-54-09;2;sphere-0500;0,0;left;1;right;39,3340001106
HNB98w;2017-05-09-12-54-09;2;sphere-0500;0,0;left;1;unclear;41,8680000305
HNB98w;2017-05-09-12-54-09;2;sphere-0500;0,0;left;1;up;41,8930001259
HNB98w;2017-05-09-12-54-09;2;sphere-0500;0,0;left;1;right;49,9510002136
HNB98w;2017-05-09-12-54-09;2;sphere-0500;0,0;left;1;left;53,9350001812
HNB98w;2017-05-09-12-54-09;2;sphere-0500;0,0;left;1;stop;60,0020000935
HNB98w;2017-05-09-12-54-09;3;cross-0500;0,0;left;1;start;0,0
HNB98w;2017-05-09-12-54-09;3;cross-0500;0,0;left;1;up;2,65900015831
HNB98w;2017-05-09-12-54-09;3;cross-0500;0,0;left;1;unclear;25,9260001183
HNB98w;2017-05-09-12-54-09;3;cross-0500;0,0;left;1;right;25,9509999752
HNB98w;2017-05-09-12-54-09;3;cross-0500;0,0;left;1;unclear;33,9750001431
HNB98w;2017-05-09-12-54-09;3;cross-0500;0,0;left;1;up;34,0750000477
HNB98w;2017-05-09-12-54-09;3;cross-0500;0,0;left;1;right;57,4509999752
HNB98w;2017-05-09-12-54-09;3;cross-0500;0,0;left;1;stop;60,0010001659
HNB98w;2017-05-09-12-54-09;4;sphere-0500;0,0;right;-1;start;0,0
HNB98w;2017-05-09-12-54-09;4;sphere-0500;0,0;right;-1;up;1,47499990463
HNB98w;2017-05-09-12-54-09;4;sphere-0500;0,0;right;-1;left;9,35899996758
HNB98w;2017-05-09-12-54-09;4;sphere-0500;0,0;right;-1;right;10,7179999352
HNB98w;2017-05-09-12-54-09;4;sphere-0500;0,0;right;-1;down;12,1839997768
HNB98w;2017-05-09-12-54-09;4;sphere-0500;0,0;right;-1;right;16,4919998646
HNB98w;2017-05-09-12-54-09;4;sphere-0500;0,0;right;-1;left;19,1509997845
HNB98w;2017-05-09-12-54-09;4;sphere-0500;0,0;right;-1;up;26,3849999905
HNB98w;2017-05-09-12-54-09;4;sphere-0500;0,0;right;-1;left;28,7349998951
HNB98w;2017-05-09-12-54-09;4;sphere-0500;0,0;right;-1;right;41,5849997997
HNB98w;2017-05-09-12-54-09;4;sphere-0500;0,0;right;-1;unclear;45,1349999905
HNB98w;2017-05-09-12-54-09;4;sphere-0500;0,0;right;-1;up;45,1849999428
HNB98w;2017-05-09-12-54-09;4;sphere-0500;0,0;right;-1;left;48,8509998322
HNB98w;2017-05-09-12-54-09;4;sphere-0500;0,0;right;-1;right;56,0429999828
HNB98w;2017-05-09-12-54-09;4;sphere-0500;0,0;right;-1;up;58,9099998474
HNB98w;2017-05-09-12-54-09;4;sphere-0500;0,0;right;-1;unclear;59,4599997997
HNB98w;2017-05-09-12-54-09;4;sphere-0500;0,0;right;-1;left;59,501999855
HNB98w;2017-05-09-12-54-09;4;sphere-0500;0,0;right;-1;stop;60,001999855
HNB98w;2017-05-09-12-54-09;5;sphere-0500;0,15;left;-1;start;0,0
HNB98w;2017-05-09-12-54-09;5;sphere-0500;0,15;left;-1;left;2,36600017548
HNB98w;2017-05-09-12-54-09;5;sphere-0500;0,15;left;-1;right;7,16600012779
HNB98w;2017-05-09-12-54-09;5;sphere-0500;0,15;left;-1;left;14,9240000248
HNB98w;2017-05-09-12-54-09;5;sphere-0500;0,15;left;-1;unclear;18,0080001354
HNB98w;2017-05-09-12-54-09;5;sphere-0500;0,15;left;-1;down;18,492000103
HNB98w;2017-05-09-12-54-09;5;sphere-0500;0,15;left;-1;left;31,0410001278
HNB98w;2017-05-09-12-54-09;5;sphere-0500;0,15;left;-1;down;41,6750001907
HNB98w;2017-05-09-12-54-09;5;sphere-0500;0,15;left;-1;unclear;44,4580001831
HNB98w;2017-05-09-12-54-09;5;sphere-0500;0,15;left;-1;left;44,4830000401
HNB98w;2017-05-09-12-54-09;5;sphere-0500;0,15;left;-1;down;48,1000001431
HNB98w;2017-05-09-12-54-09;5;sphere-0500;0,15;left;-1;left;55,0090000629
HNB98w;2017-05-09-12-54-09;5;sphere-0500;0,15;left;-1;down;57,5670001507
HNB98w;2017-05-09-12-54-09;5;sphere-0500;0,15;left;-1;stop;60,0
HNB98w;2017-05-09-12-54-09;6;sphere-0500;0,15;neither;1;start;0,0
HNB98w;2017-05-09-12-54-09;6;sphere-0500;0,15;neither;1;left;1,66700005531
HNB98w;2017-05-09-12-54-09;6;sphere-0500;0,15;neither;1;right;4,83299994469
HNB98w;2017-05-09-12-54-09;6;sphere-0500;0,15;neither;1;left;8,77600002289
HNB98w;2017-05-09-12-54-09;6;sphere-0500;0,15;neither;1;right;10,1760001183
HNB98w;2017-05-09-12-54-09;6;sphere-0500;0,15;neither;1;left;13,3250000477
HNB98w;2017-05-09-12-54-09;6;sphere-0500;0,15;neither;1;down;16,8500001431
HNB98w;2017-05-09-12-54-09;6;sphere-0500;0,15;neither;1;right;23,9679999352
HNB98w;2017-05-09-12-54-09;6;sphere-0500;0,15;neither;1;left;25,8429999352
HNB98w;2017-05-09-12-54-09;6;sphere-0500;0,15;neither;1;down;27,6180000305
HNB98w;2017-05-09-12-54-09;6;sphere-0500;0,15;neither;1;right;29,6760001183
HNB98w;2017-05-09-12-54-09;6;sphere-0500;0,15;neither;1;left;32,1840000153
HNB98w;2017-05-09-12-54-09;6;sphere-0500;0,15;neither;1;unclear;40,1679999828
HNB98w;2017-05-09-12-54-09;6;sphere-0500;0,15;neither;1;up;40,2350001335
HNB98w;2017-05-09-12-54-09;6;sphere-0500;0,15;neither;1;unclear;46,1510000229
HNB98w;2017-05-09-12-54-09;6;sphere-0500;0,15;neither;1;down;46,4590001106
HNB98w;2017-05-09-12-54-09;6;sphere-0500;0,15;neither;1;right;53,5920000076
HNB98w;2017-05-09-12-54-09;6;sphere-0500;0,15;neither;1;unclear;57,8930001259
HNB98w;2017-05-09-12-54-09;6;sphere-0500;0,15;neither;1;left;57,9100000858
