Observer;SessionID;Block;Shape;Gap;Unambiguious;Direction;Percept;Time
IJH1998W;2017-11-02-09-05-18;1;cross-0500;0,0;right;1;start;0,0
IJH1998W;2017-11-02-09-05-18;1;cross-0500;0,0;right;1;up;3,26000022888
IJH1998W;2017-11-02-09-05-18;1;cross-0500;0,0;right;1;unclear;6,41600012779
IJH1998W;2017-11-02-09-05-18;1;cross-0500;0,0;right;1;down;6,59900021553
IJH1998W;2017-11-02-09-05-18;1;cross-0500;0,0;right;1;right;10,2050001621
IJH1998W;2017-11-02-09-05-18;1;cross-0500;0,0;right;1;up;22,5630002022
IJH1998W;2017-11-02-09-05-18;1;cross-0500;0,0;right;1;down;24,0660002232
IJH1998W;2017-11-02-09-05-18;1;cross-0500;0,0;right;1;stop;60,003000021
IJH1998W;2017-11-02-09-05-18;2;cross-0500;-0,15;left;-1;start;0,0
IJH1998W;2017-11-02-09-05-18;2;cross-0500;-0,15;left;-1;left;1,94000005722
IJH1998W;2017-11-02-09-05-18;2;cross-0500;-0,15;left;-1;down;21,3290002346
IJH1998W;2017-11-02-09-05-18;2;cross-0500;-0,15;left;-1;left;29,4100000858
IJH1998W;2017-11-02-09-05-18;2;cross-0500;-0,15;left;-1;down;31,748000145
IJH1998W;2017-11-02-09-05-18;2;cross-0500;-0,15;left;-1;left;32,7170000076
IJH1998W;2017-11-02-09-05-18;2;cross-0500;-0,15;left;-1;down;39,5310001373
IJH1998W;2017-11-02-09-05-18;2;cross-0500;-0,15;left;-1;left;40,4820001125
IJH1998W;2017-11-02-09-05-18;2;cross-0500;-0,15;left;-1;down;48,481000185
IJH1998W;2017-11-02-09-05-18;2;cross-0500;-0,15;left;-1;left;51,0690000057
IJH1998W;2017-11-02-09-05-18;2;cross-0500;-0,15;left;-1;down;53,6910002232
IJH1998W;2017-11-02-09-05-18;2;cross-0500;-0,15;left;-1;stop;60,003000021
IJH1998W;2017-11-02-09-05-18;3;sphere-0500;0,0;left;1;start;0,0
IJH1998W;2017-11-02-09-05-18;3;sphere-0500;0,0;left;1;down;1,2389998436
IJH1998W;2017-11-02-09-05-18;3;sphere-0500;0,0;left;1;right;3,47599983215
IJH1998W;2017-11-02-09-05-18;3;sphere-0500;0,0;left;1;down;4,27799987793
