Observer;SessionID;Block;Shape;Gap;Unambiguious;Direction;Percept;Time
MRW93W;2017-05-08-09-05-45;1;sphere-0500;-0,15;left;-1;start;0,0
MRW93W;2017-05-08-09-05-45;1;sphere-0500;-0,15;left;-1;left;2,15599989891
MRW93W;2017-05-08-09-05-45;1;sphere-0500;-0,15;left;-1;unclear;29,6809999943
MRW93W;2017-05-08-09-05-45;1;sphere-0500;-0,15;left;-1;down;29,9569997787
MRW93W;2017-05-08-09-05-45;1;sphere-0500;-0,15;left;-1;stop;60,0069999695
MRW93W;2017-05-08-09-05-45;2;cross-0500;0,0;right;-1;start;0,0
MRW93W;2017-05-08-09-05-45;2;cross-0500;0,0;right;-1;left;13,742000103
MRW93W;2017-05-08-09-05-45;2;cross-0500;0,0;right;-1;unclear;25,4330000877
MRW93W;2017-05-08-09-05-45;2;cross-0500;0,0;right;-1;left;25,9830000401
MRW93W;2017-05-08-09-05-45;2;cross-0500;0,0;right;-1;stop;60,0
MRW93W;2017-05-08-09-05-45;3;sphere-0500;0,15;left;-1;start;0,0
MRW93W;2017-05-08-09-05-45;3;sphere-0500;0,15;left;-1;right;17,8270001411
MRW93W;2017-05-08-09-05-45;3;sphere-0500;0,15;left;-1;unclear;20,5180001259
MRW93W;2017-05-08-09-05-45;3;sphere-0500;0,15;left;-1;right;20,6519999504
MRW93W;2017-05-08-09-05-45;3;sphere-0500;0,15;left;-1;down;32,5429999828
MRW93W;2017-05-08-09-05-45;3;sphere-0500;0,15;left;-1;stop;60,0020000935
MRW93W;2017-05-08-09-05-45;4;cross-0500;-0,15;left;-1;start;0,0
MRW93W;2017-05-08-09-05-45;4;cross-0500;-0,15;left;-1;up;15,4670000076
MRW93W;2017-05-08-09-05-45;4;cross-0500;-0,15;left;-1;stop;60,0020000935
MRW93W;2017-05-08-09-05-45;5;cross-0500;0,0;left;1;start;0,0
MRW93W;2017-05-08-09-05-45;5;cross-0500;0,0;left;1;up;12,0669999123
MRW93W;2017-05-08-09-05-45;5;cross-0500;0,0;left;1;left;12,3090000153
MRW93W;2017-05-08-09-05-45;5;cross-0500;0,0;left;1;stop;60,0009999275
MRW93W;2017-05-08-09-05-45;6;sphere-0500;0,0;left;-1;start;0,0
MRW93W;2017-05-08-09-05-45;6;sphere-0500;0,0;left;-1;down;10,4910001755
MRW93W;2017-05-08-09-05-45;6;sphere-0500;0,0;left;-1;stop;60,0
MRW93W;2017-05-08-09-05-45;7;cross-0500;0,15;left;1;start;0,0
MRW93W;2017-05-08-09-05-45;7;cross-0500;0,15;left;1;right;16,867000103
MRW93W;2017-05-08-09-05-45;7;cross-0500;0,15;left;1;stop;60,0010001659
MRW93W;2017-05-08-09-05-45;8;sphere-0500;0,15;neither;-1;start;0,0
MRW93W;2017-05-08-09-05-45;8;sphere-0500;0,15;neither;-1;down;13,9170000553
MRW93W;2017-05-08-09-05-45;8;sphere-0500;0,15;neither;-1;stop;60,001999855
MRW93W;2017-05-08-09-05-45;9;cross-0500;-0,15;neither;1;start;0,0
MRW93W;2017-05-08-09-05-45;9;cross-0500;-0,15;neither;1;left;5,89100003242
MRW93W;2017-05-08-09-05-45;9;cross-0500;-0,15;neither;1;stop;60,0
MRW93W;2017-05-08-09-05-45;10;sphere-0500;0,0;neither;1;start;0,0
MRW93W;2017-05-08-09-05-45;10;sphere-0500;0,0;neither;1;down;18,4830000401
MRW93W;2017-05-08-09-05-45;10;sphere-0500;0,0;neither;1;unclear;26,5409998894
MRW93W;2017-05-08-09-05-45;10;sphere-0500;0,0;neither;1;up;27,3999998569
MRW93W;2017-05-08-09-05-45;10;sphere-0500;0,0;neither;1;left;57,5590000153
MRW93W;2017-05-08-09-05-45;10;sphere-0500;0,0;neither;1;stop;60,0
MRW93W;2017-05-08-09-05-45;11;sphere-0500;-0,15;neither;-1;start;0,0
MRW93W;2017-05-08-09-05-45;11;sphere-0500;-0,15;neither;-1;left;3,34999990463
MRW93W;2017-05-08-09-05-45;11;sphere-0500;-0,15;neither;-1;stop;60,0
MRW93W;2017-05-08-09-05-45;12;sphere-0500;-0,15;right;-1;start;0,0
MRW93W;2017-05-08-09-05-45;12;sphere-0500;-0,15;right;-1;right;5,40000009537
MRW93W;2017-05-08-09-05-45;12;sphere-0500;-0,15;right;-1;left;12,9419999123
MRW93W;2017-05-08-09-05-45;12;sphere-0500;-0,15;right;-1;up;19,492000103
MRW93W;2017-05-08-09-05-45;12;sphere-0500;-0,15;right;-1;left;43,6600000858
MRW93W;2017-05-08-09-05-45;12;sphere-0500;-0,15;right;-1;stop;60,0020000935
MRW93W;2017-05-08-09-05-45;13;cross-0500;0,15;neither;1;start;0,0
MRW93W;2017-05-08-09-05-45;13;cross-0500;0,15;neither;1;right;12,9489998817
MRW93W;2017-05-08-09-05-45;13;cross-0500;0,15;neither;1;stop;60,0
MRW93W;2017-05-08-09-05-45;14;cross-0500;0,0;neither;-1;start;0,0
MRW93W;2017-05-08-09-05-45;14;cross-0500;0,0;neither;-1;down;11,4329998493
MRW93W;2017-05-08-09-05-45;14;cross-0500;0,0;neither;-1;stop;60,0009999275
MRW93W;2017-05-08-09-05-45;15;sphere-0500;0,0;right;-1;start;0,0
MRW93W;2017-05-08-09-05-45;15;sphere-0500;0,0;right;-1;left;3,42499995232
MRW93W;2017-05-08-09-05-45;15;sphere-0500;0,0;right;-1;stop;60,0020000935
MRW93W;2017-05-08-09-05-45;16;cross-0500;-0,15;right;1;start;0,0
MRW93W;2017-05-08-09-05-45;16;cross-0500;-0,15;right;1;down;27,4089999199
