Observer;SessionID;Block;Shape;Gap;Unambiguious;Direction;Percept;Time
MWM1998WR;2017-11-07-14-27-01;1;sphere-0500;0,0;right;1;start;0,0
MWM1998WR;2017-11-07-14-27-01;1;sphere-0500;0,0;right;1;up;1,18899989128
MWM1998WR;2017-11-07-14-27-01;1;sphere-0500;0,0;right;1;unclear;1,45599985123
MWM1998WR;2017-11-07-14-27-01;1;sphere-0500;0,0;right;1;up;1,4889998436
MWM1998WR;2017-11-07-14-27-01;1;sphere-0500;0,0;right;1;unclear;1,78999996185
MWM1998WR;2017-11-07-14-27-01;1;sphere-0500;0,0;right;1;right;2,69099998474
MWM1998WR;2017-11-07-14-27-01;1;sphere-0500;0,0;right;1;left;4,39399981499
MWM1998WR;2017-11-07-14-27-01;1;sphere-0500;0,0;right;1;unclear;7,54999995232
MWM1998WR;2017-11-07-14-27-01;1;sphere-0500;0,0;right;1;down;7,90099978447
MWM1998WR;2017-11-07-14-27-01;1;sphere-0500;0,0;right;1;right;9,70499992371
MWM1998WR;2017-11-07-14-27-01;1;sphere-0500;0,0;right;1;unclear;14,1639997959
MWM1998WR;2017-11-07-14-27-01;1;sphere-0500;0,0;right;1;down;14,8489999771
MWM1998WR;2017-11-07-14-27-01;1;sphere-0500;0,0;right;1;right;31,2139999866
MWM1998WR;2017-11-07-14-27-01;1;sphere-0500;0,0;right;1;down;34,0359997749
MWM1998WR;2017-11-07-14-27-01;1;sphere-0500;0,0;right;1;right;58,0319998264
MWM1998WR;2017-11-07-14-27-01;1;sphere-0500;0,0;right;1;stop;60,001999855
MWM1998WR;2017-11-07-14-27-01;2;cross-0500;0,15;left;1;start;0,0
MWM1998WR;2017-11-07-14-27-01;2;cross-0500;0,15;left;1;right;2,03900003433
MWM1998WR;2017-11-07-14-27-01;2;cross-0500;0,15;left;1;unclear;2,53999996185
MWM1998WR;2017-11-07-14-27-01;2;cross-0500;0,15;left;1;right;2,95700001717
MWM1998WR;2017-11-07-14-27-01;2;cross-0500;0,15;left;1;stop;60,0020000935
MWM1998WR;2017-11-07-14-27-01;3;sphere-0500;0,0;left;1;start;0,0
MWM1998WR;2017-11-07-14-27-01;3;sphere-0500;0,0;left;1;right;1,69000005722
MWM1998WR;2017-11-07-14-27-01;3;sphere-0500;0,0;left;1;up;17,368999958
MWM1998WR;2017-11-07-14-27-01;3;sphere-0500;0,0;left;1;right;28,356000185
MWM1998WR;2017-11-07-14-27-01;3;sphere-0500;0,0;left;1;up;34,4690001011
MWM1998WR;2017-11-07-14-27-01;3;sphere-0500;0,0;left;1;right;42,5510001183
MWM1998WR;2017-11-07-14-27-01;3;sphere-0500;0,0;left;1;up;47,5770001411
MWM1998WR;2017-11-07-14-27-01;3;sphere-0500;0,0;left;1;right;53,1560001373
MWM1998WR;2017-11-07-14-27-01;3;sphere-0500;0,0;left;1;up;55,7599999905
MWM1998WR;2017-11-07-14-27-01;3;sphere-0500;0,0;left;1;right;58,248000145
MWM1998WR;2017-11-07-14-27-01;3;sphere-0500;0,0;left;1;stop;60,0010001659
MWM1998WR;2017-11-07-14-27-01;4;sphere-0500;0,15;neither;1;start;0,0
MWM1998WR;2017-11-07-14-27-01;4;sphere-0500;0,15;neither;1;right;1,53799986839
MWM1998WR;2017-11-07-14-27-01;4;sphere-0500;0,15;neither;1;up;2,99099993706
MWM1998WR;2017-11-07-14-27-01;4;sphere-0500;0,15;neither;1;left;4,89499998093
MWM1998WR;2017-11-07-14-27-01;4;sphere-0500;0,15;neither;1;up;18,2200000286
MWM1998WR;2017-11-07-14-27-01;4;sphere-0500;0,15;neither;1;unclear;26,0690000057
MWM1998WR;2017-11-07-14-27-01;4;sphere-0500;0,15;neither;1;left;26,135999918
MWM1998WR;2017-11-07-14-27-01;4;sphere-0500;0,15;neither;1;down;26,2869999409
MWM1998WR;2017-11-07-14-27-01;4;sphere-0500;0,15;neither;1;unclear;27,9230000973
MWM1998WR;2017-11-07-14-27-01;4;sphere-0500;0,15;neither;1;up;28,0729999542
MWM1998WR;2017-11-07-14-27-01;4;sphere-0500;0,15;neither;1;left;30,1440000534
MWM1998WR;2017-11-07-14-27-01;4;sphere-0500;0,15;neither;1;unclear;39,5120000839
MWM1998WR;2017-11-07-14-27-01;4;sphere-0500;0,15;neither;1;left;39,6459999084
MWM1998WR;2017-11-07-14-27-01;4;sphere-0500;0,15;neither;1;up;46,375
MWM1998WR;2017-11-07-14-27-01;4;sphere-0500;0,15;neither;1;left;50,0989999771
MWM1998WR;2017-11-07-14-27-01;4;sphere-0500;0,15;neither;1;right;59,9019999504
MWM1998WR;2017-11-07-14-27-01;4;sphere-0500;0,15;neither;1;stop;60,0020000935
MWM1998WR;2017-11-07-14-27-01;5;sphere-0500;-0,15;neither;1;start;0,0
MWM1998WR;2017-11-07-14-27-01;5;sphere-0500;-0,15;neither;1;up;2,70700001717
MWM1998WR;2017-11-07-14-27-01;5;sphere-0500;-0,15;neither;1;left;3,17500019073
MWM1998WR;2017-11-07-14-27-01;5;sphere-0500;-0,15;neither;1;right;4,81100010872
MWM1998WR;2017-11-07-14-27-01;5;sphere-0500;-0,15;neither;1;left;6,21399998665
MWM1998WR;2017-11-07-14-27-01;5;sphere-0500;-0,15;neither;1;right;8,48500013351
MWM1998WR;2017-11-07-14-27-01;5;sphere-0500;-0,15;neither;1;left;12,6770000458
MWM1998WR;2017-11-07-14-27-01;5;sphere-0500;-0,15;neither;1;up;14,7980000973
MWM1998WR;2017-11-07-14-27-01;5;sphere-0500;-0,15;neither;1;left;22,1449999809
MWM1998WR;2017-11-07-14-27-01;5;sphere-0500;-0,15;neither;1;right;26,7200000286
MWM1998WR;2017-11-07-14-27-01;5;sphere-0500;-0,15;neither;1;left;28,5250000954
MWM1998WR;2017-11-07-14-27-01;5;sphere-0500;-0,15;neither;1;right;30,128000021
MWM1998WR;2017-11-07-14-27-01;5;sphere-0500;-0,15;neither;1;left;31,6480000019
MWM1998WR;2017-11-07-14-27-01;5;sphere-0500;-0,15;neither;1;right;33,1180000305
