Observer;SessionID;Block;Shape;Gap;Unambiguious;Direction;Percept;Time
SJW1988M;2017-10-18-11-40-37;1;sphere-0500;0,15;left;1;start;0,0
SJW1988M;2017-10-18-11-40-37;1;sphere-0500;0,15;left;1;right;1,57299995422
SJW1988M;2017-10-18-11-40-37;1;sphere-0500;0,15;left;1;unclear;16,4689998627
SJW1988M;2017-10-18-11-40-37;1;sphere-0500;0,15;left;1;up;17,1700000763
SJW1988M;2017-10-18-11-40-37;1;sphere-0500;0,15;left;1;unclear;33,3840000629
SJW1988M;2017-10-18-11-40-37;1;sphere-0500;0,15;left;1;right;33,3999998569
SJW1988M;2017-10-18-11-40-37;1;sphere-0500;0,15;left;1;down;39,9960000515
SJW1988M;2017-10-18-11-40-37;1;sphere-0500;0,15;left;1;unclear;40,7479999065
SJW1988M;2017-10-18-11-40-37;1;sphere-0500;0,15;left;1;right;41,0149998665
SJW1988M;2017-10-18-11-40-37;1;sphere-0500;0,15;left;1;up;58,4170000553
SJW1988M;2017-10-18-11-40-37;1;sphere-0500;0,15;left;1;stop;60,0020000935
SJW1988M;2017-10-18-11-40-37;2;cross-0500;0,0;left;-1;start;0,0
SJW1988M;2017-10-18-11-40-37;2;cross-0500;0,0;left;-1;down;1,20399999619
SJW1988M;2017-10-18-11-40-37;2;cross-0500;0,0;left;-1;left;29,9270000458
SJW1988M;2017-10-18-11-40-37;2;cross-0500;0,0;left;-1;stop;60,0020000935
SJW1988M;2017-10-18-11-40-37;3;cross-0500;0,15;right;-1;start;0,0
SJW1988M;2017-10-18-11-40-37;3;cross-0500;0,15;right;-1;up;1,63900017738
SJW1988M;2017-10-18-11-40-37;3;cross-0500;0,15;right;-1;left;16,3660001755
SJW1988M;2017-10-18-11-40-37;3;cross-0500;0,15;right;-1;right;33,4660000801
SJW1988M;2017-10-18-11-40-37;3;cross-0500;0,15;right;-1;unclear;34,0860002041
SJW1988M;2017-10-18-11-40-37;3;cross-0500;0,15;right;-1;up;34,1520001888
SJW1988M;2017-10-18-11-40-37;3;cross-0500;0,15;right;-1;left;43,6530001163
SJW1988M;2017-10-18-11-40-37;3;cross-0500;0,15;right;-1;up;52,5550000668
SJW1988M;2017-10-18-11-40-37;3;cross-0500;0,15;right;-1;stop;60,003000021
SJW1988M;2017-10-18-11-40-37;4;sphere-0500;0,15;left;-1;start;0,0
SJW1988M;2017-10-18-11-40-37;4;sphere-0500;0,15;left;-1;down;1,25500011444
SJW1988M;2017-10-18-11-40-37;4;sphere-0500;0,15;left;-1;left;23,5150001049
SJW1988M;2017-10-18-11-40-37;4;sphere-0500;0,15;left;-1;down;26,1370000839
SJW1988M;2017-10-18-11-40-37;4;sphere-0500;0,15;left;-1;left;39,6650002003
SJW1988M;2017-10-18-11-40-37;4;sphere-0500;0,15;left;-1;unclear;41,2330000401
SJW1988M;2017-10-18-11-40-37;4;sphere-0500;0,15;left;-1;down;41,25
SJW1988M;2017-10-18-11-40-37;4;sphere-0500;0,15;left;-1;stop;60,003000021
SJW1988M;2017-10-18-11-40-37;5;sphere-0500;0,0;right;1;start;0,0
SJW1988M;2017-10-18-11-40-37;5;sphere-0500;0,0;right;1;right;1,20600008965
SJW1988M;2017-10-18-11-40-37;5;sphere-0500;0,0;right;1;down;22,3120000362
SJW1988M;2017-10-18-11-40-37;5;sphere-0500;0,0;right;1;unclear;38,1940000057
SJW1988M;2017-10-18-11-40-37;5;sphere-0500;0,0;right;1;right;38,2260000706
SJW1988M;2017-10-18-11-40-37;5;sphere-0500;0,0;right;1;down;56,245000124
SJW1988M;2017-10-18-11-40-37;5;sphere-0500;0,0;right;1;stop;60,003000021
SJW1988M;2017-10-18-11-40-37;6;sphere-0500;0,15;right;-1;start;0,0
SJW1988M;2017-10-18-11-40-37;6;sphere-0500;0,15;right;-1;up;1,03900003433
SJW1988M;2017-10-18-11-40-37;6;sphere-0500;0,15;right;-1;left;5,31299996376
SJW1988M;2017-10-18-11-40-37;6;sphere-0500;0,15;right;-1;up;9,18799996376
SJW1988M;2017-10-18-11-40-37;6;sphere-0500;0,15;right;-1;left;12,7260000706
SJW1988M;2017-10-18-11-40-37;6;sphere-0500;0,15;right;-1;up;37,3600001335
SJW1988M;2017-10-18-11-40-37;6;sphere-0500;0,15;right;-1;left;40,7650001049
SJW1988M;2017-10-18-11-40-37;6;sphere-0500;0,15;right;-1;right;46,3420000076
SJW1988M;2017-10-18-11-40-37;6;sphere-0500;0,15;right;-1;unclear;46,5420000553
SJW1988M;2017-10-18-11-40-37;6;sphere-0500;0,15;right;-1;left;46,6259999275
SJW1988M;2017-10-18-11-40-37;6;sphere-0500;0,15;right;-1;up;46,8600001335
SJW1988M;2017-10-18-11-40-37;6;sphere-0500;0,15;right;-1;left;53,9240000248
SJW1988M;2017-10-18-11-40-37;6;sphere-0500;0,15;right;-1;stop;60,0020000935
SJW1988M;2017-10-18-11-40-37;7;cross-0500;0,15;right;1;start;0,0
SJW1988M;2017-10-18-11-40-37;7;cross-0500;0,15;right;1;down;1,62199997902
SJW1988M;2017-10-18-11-40-37;7;cross-0500;0,15;right;1;right;14,631000042
SJW1988M;2017-10-18-11-40-37;7;cross-0500;0,15;right;1;down;34,4359998703
SJW1988M;2017-10-18-11-40-37;7;cross-0500;0,15;right;1;right;39,8629999161
SJW1988M;2017-10-18-11-40-37;7;cross-0500;0,15;right;1;down;49,8659999371
SJW1988M;2017-10-18-11-40-37;7;cross-0500;0,15;right;1;unclear;56,8459999561
SJW1988M;2017-10-18-11-40-37;7;cross-0500;0,15;right;1;right;57,3629999161
SJW1988M;2017-10-18-11-40-37;7;cross-0500;0,15;right;1;stop;60,001999855
SJW1988M;2017-10-18-11-40-37;8;sphere-0500;0,15;right;-1;start;0,0
SJW1988M;2017-10-18-11-40-37;8;sphere-0500;0,15;right;-1;left;1,05400013924
SJW1988M;2017-10-18-11-40-37;8;sphere-0500;0,15;right;-1;up;23,2300000191
SJW1988M;2017-10-18-11-40-37;8;sphere-0500;0,15;right;-1;left;39,3129999638
SJW1988M;2017-10-18-11-40-37;8;sphere-0500;0,15;right;-1;stop;60,0020000935
SJW1988M;2017-10-18-11-40-37;9;cross-0500;0,15;neither;1;start;0,0
SJW1988M;2017-10-18-11-40-37;9;cross-0500;0,15;neither;1;right;1,53799986839
SJW1988M;2017-10-18-11-40-37;9;cross-0500;0,15;neither;1;unclear;10,9570000172
SJW1988M;2017-10-18-11-40-37;9;cross-0500;0,15;neither;1;down;11,0569999218
SJW1988M;2017-10-18-11-40-37;9;cross-0500;0,15;neither;1;unclear;14,0959999561
SJW1988M;2017-10-18-11-40-37;9;cross-0500;0,15;neither;1;up;14,4639999866
