Observer;SessionID;Block;Shape;Gap;Unambiguious;Direction;Percept;Time
PWN1998W;2017-10-24-12-26-44;1;cross-0500;0,15;neither;-1;start;0,0
PWN1998W;2017-10-24-12-26-44;1;cross-0500;0,15;neither;-1;stop;60,001999855
PWN1998W;2017-10-24-12-26-44;2;cross-0500;-0,15;left;-1;start;0,0
PWN1998W;2017-10-24-12-26-44;2;cross-0500;-0,15;left;-1;stop;60,003000021
PWN1998W;2017-10-24-12-26-44;3;cross-0500;0,0;neither;-1;start;0,0
PWN1998W;2017-10-24-12-26-44;3;cross-0500;0,0;neither;-1;stop;60,003000021
PWN1998W;2017-10-24-12-26-44;4;cross-0500;-0,15;right;1;start;0,0
PWN1998W;2017-10-24-12-26-44;4;cross-0500;-0,15;right;1;stop;60,001999855
PWN1998W;2017-10-24-12-26-44;5;sphere-0500;-0,15;neither;-1;start;0,0
PWN1998W;2017-10-24-12-26-44;5;sphere-0500;-0,15;neither;-1;stop;60,001999855
PWN1998W;2017-10-24-12-26-44;6;cross-0500;0,0;right;1;start;0,0
PWN1998W;2017-10-24-12-26-44;6;cross-0500;0,0;right;1;stop;60,003000021
PWN1998W;2017-10-24-12-26-44;7;sphere-0500;0,0;neither;1;start;0,0
PWN1998W;2017-10-24-12-26-44;7;sphere-0500;0,0;neither;1;stop;60,0009999275
PWN1998W;2017-10-24-12-26-44;8;sphere-0500;0,15;right;1;start;0,0
PWN1998W;2017-10-24-12-26-44;8;sphere-0500;0,15;right;1;stop;60,0020000935
PWN1998W;2017-10-24-12-26-44;9;sphere-0500;0,0;left;1;start;0,0
PWN1998W;2017-10-24-12-26-44;9;sphere-0500;0,0;left;1;stop;60,003000021
PWN1998W;2017-10-24-12-26-44;10;sphere-0500;0,0;right;1;start;0,0
PWN1998W;2017-10-24-12-26-44;10;sphere-0500;0,0;right;1;stop;60,003000021
PWN1998W;2017-10-24-12-26-44;11;cross-0500;0,15;left;1;start;0,0
PWN1998W;2017-10-24-12-26-44;11;cross-0500;0,15;left;1;stop;60,003000021
PWN1998W;2017-10-24-12-26-44;12;sphere-0500;0,15;neither;-1;start;0,0
PWN1998W;2017-10-24-12-26-44;12;sphere-0500;0,15;neither;-1;stop;60,001999855
PWN1998W;2017-10-24-12-26-44;13;cross-0500;-0,15;neither;-1;start;0,0
PWN1998W;2017-10-24-12-26-44;13;cross-0500;-0,15;neither;-1;stop;60,001999855
PWN1998W;2017-10-24-12-26-44;14;cross-0500;0,0;left;-1;start;0,0
PWN1998W;2017-10-24-12-26-44;14;cross-0500;0,0;left;-1;down;23,5150001049
PWN1998W;2017-10-24-12-26-44;14;cross-0500;0,0;left;-1;unclear;23,8489999771
PWN1998W;2017-10-24-12-26-44;14;cross-0500;0,0;left;-1;down;47,1770000458
PWN1998W;2017-10-24-12-26-44;14;cross-0500;0,0;left;-1;unclear;47,3440001011
PWN1998W;2017-10-24-12-26-44;14;cross-0500;0,0;left;-1;stop;60,003000021
PWN1998W;2017-10-24-12-26-44;15;cross-0500;0,15;right;1;start;0,0
PWN1998W;2017-10-24-12-26-44;15;cross-0500;0,15;right;1;right;6,71500015259
PWN1998W;2017-10-24-12-26-44;15;cross-0500;0,15;right;1;unclear;6,93200016022
PWN1998W;2017-10-24-12-26-44;15;cross-0500;0,15;right;1;down;39,7960000038
PWN1998W;2017-10-24-12-26-44;15;cross-0500;0,15;right;1;unclear;40,0640001297
PWN1998W;2017-10-24-12-26-44;15;cross-0500;0,15;right;1;right;45,3400001526
PWN1998W;2017-10-24-12-26-44;15;cross-0500;0,15;right;1;unclear;45,5410001278
PWN1998W;2017-10-24-12-26-44;15;cross-0500;0,15;right;1;down;55,7770001888
PWN1998W;2017-10-24-12-26-44;15;cross-0500;0,15;right;1;unclear;56,0620000362
PWN1998W;2017-10-24-12-26-44;15;cross-0500;0,15;right;1;stop;60,0020000935
PWN1998W;2017-10-24-12-26-44;16;sphere-0500;0,15;left;1;start;0,0
PWN1998W;2017-10-24-12-26-44;16;sphere-0500;0,15;left;1;right;7,16799998283
PWN1998W;2017-10-24-12-26-44;16;sphere-0500;0,15;left;1;unclear;7,36699986458
PWN1998W;2017-10-24-12-26-44;16;sphere-0500;0,15;left;1;up;18,271999836
PWN1998W;2017-10-24-12-26-44;16;sphere-0500;0,15;left;1;unclear;18,5399999619
PWN1998W;2017-10-24-12-26-44;16;sphere-0500;0,15;left;1;up;35,371999979
PWN1998W;2017-10-24-12-26-44;16;sphere-0500;0,15;left;1;unclear;35,6899998188
PWN1998W;2017-10-24-12-26-44;16;sphere-0500;0,15;left;1;stop;60,003000021
PWN1998W;2017-10-24-12-26-44;17;sphere-0500;-0,15;left;-1;start;0,0
PWN1998W;2017-10-24-12-26-44;17;sphere-0500;-0,15;left;-1;left;5,79800009727
PWN1998W;2017-10-24-12-26-44;17;sphere-0500;-0,15;left;-1;unclear;6,0490000248
PWN1998W;2017-10-24-12-26-44;17;sphere-0500;-0,15;left;-1;left;26,6050000191
PWN1998W;2017-10-24-12-26-44;17;sphere-0500;-0,15;left;-1;unclear;26,7720000744
PWN1998W;2017-10-24-12-26-44;17;sphere-0500;-0,15;left;-1;down;52,5380001068
PWN1998W;2017-10-24-12-26-44;17;sphere-0500;-0,15;left;-1;unclear;52,7550001144
PWN1998W;2017-10-24-12-26-44;17;sphere-0500;-0,15;left;-1;stop;60,003000021
