Observer;SessionID;Block;Shape;Gap;Unambiguious;Direction;Percept;Time
SFG1996MR;2017-11-10-11-21-44;1;cross-0500;0,0;neither;-1;start;0,0
SFG1996MR;2017-11-10-11-21-44;1;cross-0500;0,0;neither;-1;down;3,71099996567
SFG1996MR;2017-11-10-11-21-44;1;cross-0500;0,0;neither;-1;right;6,03199982643
SFG1996MR;2017-11-10-11-21-44;1;cross-0500;0,0;neither;-1;unclear;15,8499999046
SFG1996MR;2017-11-10-11-21-44;1;cross-0500;0,0;neither;-1;left;15,9010000229
SFG1996MR;2017-11-10-11-21-44;1;cross-0500;0,0;neither;-1;unclear;16,1510000229
SFG1996MR;2017-11-10-11-21-44;1;cross-0500;0,0;neither;-1;down;16,2849998474
SFG1996MR;2017-11-10-11-21-44;1;cross-0500;0,0;neither;-1;right;21,3450000286
SFG1996MR;2017-11-10-11-21-44;1;cross-0500;0,0;neither;-1;down;27,1559998989
SFG1996MR;2017-11-10-11-21-44;1;cross-0500;0,0;neither;-1;unclear;29,2929999828
SFG1996MR;2017-11-10-11-21-44;1;cross-0500;0,0;neither;-1;right;29,3439998627
SFG1996MR;2017-11-10-11-21-44;1;cross-0500;0,0;neither;-1;down;49,7319998741
SFG1996MR;2017-11-10-11-21-44;1;cross-0500;0,0;neither;-1;unclear;53,0889999866
SFG1996MR;2017-11-10-11-21-44;1;cross-0500;0,0;neither;-1;right;53,1059999466
SFG1996MR;2017-11-10-11-21-44;1;cross-0500;0,0;neither;-1;stop;60,0039999485
SFG1996MR;2017-11-10-11-21-44;2;sphere-0500;0,15;left;1;start;0,0
SFG1996MR;2017-11-10-11-21-44;2;sphere-0500;0,15;left;1;right;1,90599989891
SFG1996MR;2017-11-10-11-21-44;2;sphere-0500;0,15;left;1;unclear;2,57399988174
SFG1996MR;2017-11-10-11-21-44;2;sphere-0500;0,15;left;1;down;2,64100003242
SFG1996MR;2017-11-10-11-21-44;2;sphere-0500;0,15;left;1;unclear;11,375
SFG1996MR;2017-11-10-11-21-44;2;sphere-0500;0,15;left;1;right;11,5420000553
SFG1996MR;2017-11-10-11-21-44;2;sphere-0500;0,15;left;1;unclear;12,4270000458
SFG1996MR;2017-11-10-11-21-44;2;sphere-0500;0,15;left;1;up;12,8599998951
SFG1996MR;2017-11-10-11-21-44;2;sphere-0500;0,15;left;1;unclear;12,9440000057
SFG1996MR;2017-11-10-11-21-44;2;sphere-0500;0,15;left;1;right;14,7139999866
SFG1996MR;2017-11-10-11-21-44;2;sphere-0500;0,15;left;1;down;17,4530000687
SFG1996MR;2017-11-10-11-21-44;2;sphere-0500;0,15;left;1;unclear;19,6410000324
SFG1996MR;2017-11-10-11-21-44;2;sphere-0500;0,15;left;1;up;19,8910000324
SFG1996MR;2017-11-10-11-21-44;2;sphere-0500;0,15;left;1;right;26,0369999409
SFG1996MR;2017-11-10-11-21-44;2;sphere-0500;0,15;left;1;down;32,1139998436
SFG1996MR;2017-11-10-11-21-44;2;sphere-0500;0,15;left;1;unclear;35,3199999332
SFG1996MR;2017-11-10-11-21-44;2;sphere-0500;0,15;left;1;up;35,5550000668
SFG1996MR;2017-11-10-11-21-44;2;sphere-0500;0,15;left;1;unclear;44,1889998913
SFG1996MR;2017-11-10-11-21-44;2;sphere-0500;0,15;left;1;down;44,4400000572
SFG1996MR;2017-11-10-11-21-44;2;sphere-0500;0,15;left;1;unclear;51,8199999332
SFG1996MR;2017-11-10-11-21-44;2;sphere-0500;0,15;left;1;up;52,0539999008
SFG1996MR;2017-11-10-11-21-44;2;sphere-0500;0,15;left;1;unclear;58,4670000076
SFG1996MR;2017-11-10-11-21-44;2;sphere-0500;0,15;left;1;down;59,1349999905
SFG1996MR;2017-11-10-11-21-44;2;sphere-0500;0,15;left;1;stop;60,003000021
SFG1996MR;2017-11-10-11-21-44;3;cross-0500;-0,15;left;-1;start;0,0
SFG1996MR;2017-11-10-11-21-44;3;cross-0500;-0,15;left;-1;down;2,40799999237
SFG1996MR;2017-11-10-11-21-44;3;cross-0500;-0,15;left;-1;unclear;9,62299990654
SFG1996MR;2017-11-10-11-21-44;3;cross-0500;-0,15;left;-1;right;9,75499987602
SFG1996MR;2017-11-10-11-21-44;3;cross-0500;-0,15;left;-1;unclear;16,4189999104
SFG1996MR;2017-11-10-11-21-44;3;cross-0500;-0,15;left;-1;left;16,6029999256
SFG1996MR;2017-11-10-11-21-44;3;cross-0500;-0,15;left;-1;unclear;28,2920000553
SFG1996MR;2017-11-10-11-21-44;3;cross-0500;-0,15;left;-1;left;30,5469999313
SFG1996MR;2017-11-10-11-21-44;3;cross-0500;-0,15;left;-1;unclear;36,8740000725
SFG1996MR;2017-11-10-11-21-44;3;cross-0500;-0,15;left;-1;down;37,2430000305
SFG1996MR;2017-11-10-11-21-44;3;cross-0500;-0,15;left;-1;unclear;42,2030000687
SFG1996MR;2017-11-10-11-21-44;3;cross-0500;-0,15;left;-1;left;42,618999958
SFG1996MR;2017-11-10-11-21-44;3;cross-0500;-0,15;left;-1;down;47,2790000439
SFG1996MR;2017-11-10-11-21-44;3;cross-0500;-0,15;left;-1;left;55,3439998627
SFG1996MR;2017-11-10-11-21-44;3;cross-0500;-0,15;left;-1;stop;60,0039999485
SFG1996MR;2017-11-10-11-21-44;4;sphere-0500;-0,15;right;1;start;0,0
SFG1996MR;2017-11-10-11-21-44;4;sphere-0500;-0,15;right;1;left;1,69000005722
SFG1996MR;2017-11-10-11-21-44;4;sphere-0500;-0,15;right;1;right;3,8259999752
SFG1996MR;2017-11-10-11-21-44;4;sphere-0500;-0,15;right;1;unclear;4,27799987793
SFG1996MR;2017-11-10-11-21-44;4;sphere-0500;-0,15;right;1;down;4,32800006866
SFG1996MR;2017-11-10-11-21-44;4;sphere-0500;-0,15;right;1;unclear;5,39700007439
SFG1996MR;2017-11-10-11-21-44;4;sphere-0500;-0,15;right;1;left;5,43000006676
SFG1996MR;2017-11-10-11-21-44;4;sphere-0500;-0,15;right;1;right;22,4960000515
SFG1996MR;2017-11-10-11-21-44;4;sphere-0500;-0,15;right;1;left;24,2679998875
SFG1996MR;2017-11-10-11-21-44;4;sphere-0500;-0,15;right;1;right;25,7200000286
SFG1996MR;2017-11-10-11-21-44;4;sphere-0500;-0,15;right;1;unclear;29,1270000935
SFG1996MR;2017-11-10-11-21-44;4;sphere-0500;-0,15;right;1;left;29,3269999027
SFG1996MR;2017-11-10-11-21-44;4;sphere-0500;-0,15;right;1;unclear;31,8150000572
SFG1996MR;2017-11-10-11-21-44;4;sphere-0500;-0,15;right;1;down;32,9010000229
SFG1996MR;2017-11-10-11-21-44;4;sphere-0500;-0,15;right;1;unclear;34,9700000286
SFG1996MR;2017-11-10-11-21-44;4;sphere-0500;-0,15;right;1;left;35,121999979
SFG1996MR;2017-11-10-11-21-44;4;sphere-0500;-0,15;right;1;right;36,5239999294
SFG1996MR;2017-11-10-11-21-44;4;sphere-0500;-0,15;right;1;left;37,4430000782
SFG1996MR;2017-11-10-11-21-44;4;sphere-0500;-0,15;right;1;right;38,260999918
SFG1996MR;2017-11-10-11-21-44;4;sphere-0500;-0,15;right;1;left;39,2630000114
SFG1996MR;2017-11-10-11-21-44;4;sphere-0500;-0,15;right;1;right;40,1979999542
SFG1996MR;2017-11-10-11-21-44;4;sphere-0500;-0,15;right;1;left;41,9189999104
SFG1996MR;2017-11-10-11-21-44;4;sphere-0500;-0,15;right;1;right;45,6589999199
SFG1996MR;2017-11-10-11-21-44;4;sphere-0500;-0,15;right;1;left;46,7100000381
SFG1996MR;2017-11-10-11-21-44;4;sphere-0500;-0,15;right;1;unclear;47,6960000992
SFG1996MR;2017-11-10-11-21-44;4;sphere-0500;-0,15;right;1;right;47,7300000191
SFG1996MR;2017-11-10-11-21-44;4;sphere-0500;-0,15;right;1;left;48,5810000896
SFG1996MR;2017-11-10-11-21-44;4;sphere-0500;-0,15;right;1;right;50,986000061
SFG1996MR;2017-11-10-11-21-44;4;sphere-0500;-0,15;right;1;left;51,7369999886
SFG1996MR;2017-11-10-11-21-44;4;sphere-0500;-0,15;right;1;right;54,4590001106
SFG1996MR;2017-11-10-11-21-44;4;sphere-0500;-0,15;right;1;unclear;55,6099998951
SFG1996MR;2017-11-10-11-21-44;4;sphere-0500;-0,15;right;1;left;55,628000021
SFG1996MR;2017-11-10-11-21-44;4;sphere-0500;-0,15;right;1;right;57,7660000324
SFG1996MR;2017-11-10-11-21-44;4;sphere-0500;-0,15;right;1;unclear;58,8350000381
SFG1996MR;2017-11-10-11-21-44;4;sphere-0500;-0,15;right;1;stop;60,0039999485
SFG1996MR;2017-11-10-11-21-44;5;sphere-0500;0,15;neither;-1;start;0,0
SFG1996MR;2017-11-10-11-21-44;5;sphere-0500;0,15;neither;-1;down;5,91499996185
SFG1996MR;2017-11-10-11-21-44;5;sphere-0500;0,15;neither;-1;unclear;6,03099989891
SFG1996MR;2017-11-10-11-21-44;5;sphere-0500;0,15;neither;-1;up;6,21599984169
SFG1996MR;2017-11-10-11-21-44;5;sphere-0500;0,15;neither;-1;unclear;8,3869998455
SFG1996MR;2017-11-10-11-21-44;5;sphere-0500;0,15;neither;-1;right;10,7239999771
SFG1996MR;2017-11-10-11-21-44;5;sphere-0500;0,15;neither;-1;unclear;11,2089998722
SFG1996MR;2017-11-10-11-21-44;5;sphere-0500;0,15;neither;-1;down;11,5089998245
SFG1996MR;2017-11-10-11-21-44;5;sphere-0500;0,15;neither;-1;unclear;20,5759999752
SFG1996MR;2017-11-10-11-21-44;5;sphere-0500;0,15;neither;-1;right;21,2779998779
SFG1996MR;2017-11-10-11-21-44;5;sphere-0500;0,15;neither;-1;unclear;22,8650000095
SFG1996MR;2017-11-10-11-21-44;5;sphere-0500;0,15;neither;-1;left;22,8980000019
SFG1996MR;2017-11-10-11-21-44;5;sphere-0500;0,15;neither;-1;unclear;23,4659998417
SFG1996MR;2017-11-10-11-21-44;5;sphere-0500;0,15;neither;-1;left;23,5
SFG1996MR;2017-11-10-11-21-44;5;sphere-0500;0,15;neither;-1;unclear;26,8559999466
SFG1996MR;2017-11-10-11-21-44;5;sphere-0500;0,15;neither;-1;down;27,1059999466
SFG1996MR;2017-11-10-11-21-44;5;sphere-0500;0,15;neither;-1;unclear;30,3789999485
SFG1996MR;2017-11-10-11-21-44;5;sphere-0500;0,15;neither;-1;down;30,7969999313
SFG1996MR;2017-11-10-11-21-44;5;sphere-0500;0,15;neither;-1;unclear;32,5499999523
SFG1996MR;2017-11-10-11-21-44;5;sphere-0500;0,15;neither;-1;right;33,3169999123
SFG1996MR;2017-11-10-11-21-44;5;sphere-0500;0,15;neither;-1;unclear;35,0869998932
SFG1996MR;2017-11-10-11-21-44;5;sphere-0500;0,15;neither;-1;down;35,3539998531
SFG1996MR;2017-11-10-11-21-44;5;sphere-0500;0,15;neither;-1;unclear;44,4059998989
SFG1996MR;2017-11-10-11-21-44;5;sphere-0500;0,15;neither;-1;left;44,5899999142
SFG1996MR;2017-11-10-11-21-44;5;sphere-0500;0,15;neither;-1;unclear;45,4909999371
SFG1996MR;2017-11-10-11-21-44;5;sphere-0500;0,15;neither;-1;right;45,7089998722
SFG1996MR;2017-11-10-11-21-44;5;sphere-0500;0,15;neither;-1;unclear;45,8420000076
SFG1996MR;2017-11-10-11-21-44;5;sphere-0500;0,15;neither;-1;down;45,9089999199
SFG1996MR;2017-11-10-11-21-44;5;sphere-0500;0,15;neither;-1;unclear;51,0520000458
SFG1996MR;2017-11-10-11-21-44;5;sphere-0500;0,15;neither;-1;down;51,9210000038
