Observer;SessionID;Block;Shape;Gap;Unambiguious;Direction;Percept;Time
SGS95w;2017-05-16-11-59-34;1;sphere-0500;0,15;right;-1;start;0,0
SGS95w;2017-05-16-11-59-34;1;sphere-0500;0,15;right;-1;up;2,37400007248
SGS95w;2017-05-16-11-59-34;1;sphere-0500;0,15;right;-1;right;18,739000082
SGS95w;2017-05-16-11-59-34;1;sphere-0500;0,15;right;-1;up;33,0010001659
SGS95w;2017-05-16-11-59-34;1;sphere-0500;0,15;right;-1;left;46,4090001583
SGS95w;2017-05-16-11-59-34;1;sphere-0500;0,15;right;-1;stop;60,0020000935
SGS95w;2017-05-16-11-59-34;2;sphere-0500;-0,15;right;1;start;0,0
SGS95w;2017-05-16-11-59-34;2;sphere-0500;-0,15;right;1;down;4,62700009346
SGS95w;2017-05-16-11-59-34;2;sphere-0500;-0,15;right;1;unclear;8,83500003815
SGS95w;2017-05-16-11-59-34;2;sphere-0500;-0,15;right;1;right;8,86899995804
SGS95w;2017-05-16-11-59-34;2;sphere-0500;-0,15;right;1;up;17,368999958
SGS95w;2017-05-16-11-59-34;2;sphere-0500;-0,15;right;1;right;20,375
SGS95w;2017-05-16-11-59-34;2;sphere-0500;-0,15;right;1;unclear;44,2880001068
SGS95w;2017-05-16-11-59-34;2;sphere-0500;-0,15;right;1;down;45,0390000343
SGS95w;2017-05-16-11-59-34;2;sphere-0500;-0,15;right;1;unclear;51,7190001011
SGS95w;2017-05-16-11-59-34;2;sphere-0500;-0,15;right;1;up;52,0199999809
SGS95w;2017-05-16-11-59-34;2;sphere-0500;-0,15;right;1;stop;60,0020000935
SGS95w;2017-05-16-11-59-34;3;cross-0500;0,15;right;-1;start;0,0
SGS95w;2017-05-16-11-59-34;3;cross-0500;0,15;right;-1;up;5,04600000381
SGS95w;2017-05-16-11-59-34;3;cross-0500;0,15;right;-1;stop;60,003000021
SGS95w;2017-05-16-11-59-34;4;sphere-0500;0,0;right;-1;start;0,0
SGS95w;2017-05-16-11-59-34;4;sphere-0500;0,0;right;-1;up;2,15699982643
SGS95w;2017-05-16-11-59-34;4;sphere-0500;0,0;right;-1;unclear;28,6919999123
SGS95w;2017-05-16-11-59-34;4;sphere-0500;0,0;right;-1;left;28,7589998245
SGS95w;2017-05-16-11-59-34;4;sphere-0500;0,0;right;-1;up;42,9700000286
