Observer;SessionID;Block;Shape;Gap;Unambiguious;Direction;Percept;Time
SJW88m;2017-05-17-09-58-20;1;cross-0500;-0,15;right;1;start;0,0
SJW88m;2017-05-17-09-58-20;1;cross-0500;-0,15;right;1;right;1,49000000954
SJW88m;2017-05-17-09-58-20;1;cross-0500;-0,15;right;1;unclear;32,8329999447
SJW88m;2017-05-17-09-58-20;1;cross-0500;-0,15;right;1;down;32,9500000477
SJW88m;2017-05-17-09-58-20;1;cross-0500;-0,15;right;1;right;51,1860001087
SJW88m;2017-05-17-09-58-20;1;cross-0500;-0,15;right;1;stop;60,003000021
SJW88m;2017-05-17-09-58-20;2;sphere-0500;-0,15;neither;1;start;0,0
SJW88m;2017-05-17-09-58-20;2;sphere-0500;-0,15;neither;1;right;1,98900008202
SJW88m;2017-05-17-09-58-20;2;sphere-0500;-0,15;neither;1;left;11,256000042
SJW88m;2017-05-17-09-58-20;2;sphere-0500;-0,15;neither;1;unclear;38,1259999275
SJW88m;2017-05-17-09-58-20;2;sphere-0500;-0,15;neither;1;up;38,2100000381
SJW88m;2017-05-17-09-58-20;2;sphere-0500;-0,15;neither;1;right;45,3900001049
SJW88m;2017-05-17-09-58-20;2;sphere-0500;-0,15;neither;1;stop;60,0020000935
SJW88m;2017-05-17-09-58-20;3;sphere-0500;0,0;neither;1;start;0,0
SJW88m;2017-05-17-09-58-20;3;sphere-0500;0,0;neither;1;left;2,88999986649
SJW88m;2017-05-17-09-58-20;3;sphere-0500;0,0;neither;1;unclear;7,93400001526
SJW88m;2017-05-17-09-58-20;3;sphere-0500;0,0;neither;1;up;7,98399996758
SJW88m;2017-05-17-09-58-20;3;sphere-0500;0,0;neither;1;left;14,0119998455
SJW88m;2017-05-17-09-58-20;3;sphere-0500;0,0;neither;1;right;25,2679998875
SJW88m;2017-05-17-09-58-20;3;sphere-0500;0,0;neither;1;down;38,893999815
SJW88m;2017-05-17-09-58-20;3;sphere-0500;0,0;neither;1;left;44,9229998589
SJW88m;2017-05-17-09-58-20;3;sphere-0500;0,0;neither;1;down;52,3529999256
SJW88m;2017-05-17-09-58-20;3;sphere-0500;0,0;neither;1;right;56,9959998131
SJW88m;2017-05-17-09-58-20;3;sphere-0500;0,0;neither;1;stop;60,001999855
SJW88m;2017-05-17-09-58-20;4;cross-0500;0,15;right;-1;start;0,0
SJW88m;2017-05-17-09-58-20;4;cross-0500;0,15;right;-1;left;2,02300000191
SJW88m;2017-05-17-09-58-20;4;cross-0500;0,15;right;-1;up;50,6349999905
SJW88m;2017-05-17-09-58-20;4;cross-0500;0,15;right;-1;stop;60,003000021
SJW88m;2017-05-17-09-58-20;5;sphere-0500;0,15;left;1;start;0,0
SJW88m;2017-05-17-09-58-20;5;sphere-0500;0,15;left;1;up;1,75600004196
SJW88m;2017-05-17-09-58-20;5;sphere-0500;0,15;left;1;right;8,31999993324
SJW88m;2017-05-17-09-58-20;5;sphere-0500;0,15;left;1;unclear;20,007999897
SJW88m;2017-05-17-09-58-20;5;sphere-0500;0,15;left;1;right;20,0429999828
SJW88m;2017-05-17-09-58-20;5;sphere-0500;0,15;left;1;up;20,0590000153
SJW88m;2017-05-17-09-58-20;5;sphere-0500;0,15;left;1;left;25,5859999657
SJW88m;2017-05-17-09-58-20;5;sphere-0500;0,15;left;1;up;27,3559999466
SJW88m;2017-05-17-09-58-20;5;sphere-0500;0,15;left;1;right;29,7779998779
SJW88m;2017-05-17-09-58-20;5;sphere-0500;0,15;left;1;stop;60,003000021
SJW88m;2017-05-17-09-58-20;6;sphere-0500;0,15;right;1;start;0,0
SJW88m;2017-05-17-09-58-20;6;sphere-0500;0,15;right;1;right;1,60599994659
SJW88m;2017-05-17-09-58-20;6;sphere-0500;0,15;right;1;down;9,33699989319
SJW88m;2017-05-17-09-58-20;6;sphere-0500;0,15;right;1;right;10,5230000019
SJW88m;2017-05-17-09-58-20;6;sphere-0500;0,15;right;1;down;18,0709998608
SJW88m;2017-05-17-09-58-20;6;sphere-0500;0,15;right;1;stop;60,003000021
SJW88m;2017-05-17-09-58-20;7;cross-0500;0,0;neither;1;start;0,0
SJW88m;2017-05-17-09-58-20;7;cross-0500;0,0;neither;1;up;2,74099993706
SJW88m;2017-05-17-09-58-20;7;cross-0500;0,0;neither;1;left;13,143999815
SJW88m;2017-05-17-09-58-20;7;cross-0500;0,0;neither;1;stop;60,001999855
SJW88m;2017-05-17-09-58-20;8;sphere-0500;0,0;left;1;start;0,0
SJW88m;2017-05-17-09-58-20;8;sphere-0500;0,0;left;1;left;2,03999996185
SJW88m;2017-05-17-09-58-20;8;sphere-0500;0,0;left;1;up;15,6999998093
SJW88m;2017-05-17-09-58-20;8;sphere-0500;0,0;left;1;right;26,0360000134
SJW88m;2017-05-17-09-58-20;8;sphere-0500;0,0;left;1;up;38,5439999104
SJW88m;2017-05-17-09-58-20;8;sphere-0500;0,0;left;1;right;57,4809999466
SJW88m;2017-05-17-09-58-20;8;sphere-0500;0,0;left;1;stop;60,001999855
SJW88m;2017-05-17-09-58-20;9;cross-0500;0,0;left;1;start;0,0
SJW88m;2017-05-17-09-58-20;9;cross-0500;0,0;left;1;right;1,70499992371
SJW88m;2017-05-17-09-58-20;9;cross-0500;0,0;left;1;up;46,8600001335
SJW88m;2017-05-17-09-58-20;9;cross-0500;0,0;left;1;stop;60,0020000935
SJW88m;2017-05-17-09-58-20;10;cross-0500;-0,15;left;1;start;0,0
SJW88m;2017-05-17-09-58-20;10;cross-0500;-0,15;left;1;right;2,10599994659
SJW88m;2017-05-17-09-58-20;10;cross-0500;-0,15;left;1;up;4,89499998093
SJW88m;2017-05-17-09-58-20;10;cross-0500;-0,15;left;1;right;16,4169998169
SJW88m;2017-05-17-09-58-20;10;cross-0500;-0,15;left;1;up;37,0909998417
SJW88m;2017-05-17-09-58-20;10;cross-0500;-0,15;left;1;right;56,2949998379
SJW88m;2017-05-17-09-58-20;10;cross-0500;-0,15;left;1;stop;60,001999855
SJW88m;2017-05-17-09-58-20;11;sphere-0500;-0,15;right;-1;start;0,0
SJW88m;2017-05-17-09-58-20;11;sphere-0500;-0,15;right;-1;right;1,52199983597
SJW88m;2017-05-17-09-58-20;11;sphere-0500;-0,15;right;-1;left;19,9409999847
SJW88m;2017-05-17-09-58-20;11;sphere-0500;-0,15;right;-1;stop;60,001999855
SJW88m;2017-05-17-09-58-20;12;sphere-0500;0,15;neither;1;start;0,0
SJW88m;2017-05-17-09-58-20;12;sphere-0500;0,15;neither;1;right;1,95600008965
SJW88m;2017-05-17-09-58-20;12;sphere-0500;0,15;neither;1;down;8,2349998951
SJW88m;2017-05-17-09-58-20;12;sphere-0500;0,15;neither;1;left;19,2070000172
SJW88m;2017-05-17-09-58-20;12;sphere-0500;0,15;neither;1;right;32,5490000248
SJW88m;2017-05-17-09-58-20;12;sphere-0500;0,15;neither;1;unclear;36,5899999142
SJW88m;2017-05-17-09-58-20;12;sphere-0500;0,15;neither;1;down;36,6240000725
SJW88m;2017-05-17-09-58-20;12;sphere-0500;0,15;neither;1;unclear;37,3420000076
SJW88m;2017-05-17-09-58-20;12;sphere-0500;0,15;neither;1;right;37,6419999599
SJW88m;2017-05-17-09-58-20;12;sphere-0500;0,15;neither;1;left;47,4609999657
SJW88m;2017-05-17-09-58-20;12;sphere-0500;0,15;neither;1;unclear;47,9790000916
SJW88m;2017-05-17-09-58-20;12;sphere-0500;0,15;neither;1;down;48,2130000591
SJW88m;2017-05-17-09-58-20;12;sphere-0500;0,15;neither;1;stop;60,0020000935
SJW88m;2017-05-17-09-58-20;13;cross-0500;0,15;neither;1;start;0,0
SJW88m;2017-05-17-09-58-20;13;cross-0500;0,15;neither;1;down;2,37400007248
SJW88m;2017-05-17-09-58-20;13;cross-0500;0,15;neither;1;left;12,1089999676
SJW88m;2017-05-17-09-58-20;13;cross-0500;0,15;neither;1;right;40,6979999542
SJW88m;2017-05-17-09-58-20;13;cross-0500;0,15;neither;1;unclear;42,8190000057
SJW88m;2017-05-17-09-58-20;13;cross-0500;0,15;neither;1;down;43,7539999485
SJW88m;2017-05-17-09-58-20;13;cross-0500;0,15;neither;1;stop;60,0020000935
SJW88m;2017-05-17-09-58-20;14;cross-0500;0,0;right;1;start;0,0
SJW88m;2017-05-17-09-58-20;14;cross-0500;0,0;right;1;right;1,02099990845
SJW88m;2017-05-17-09-58-20;14;cross-0500;0,0;right;1;down;18,5549998283
SJW88m;2017-05-17-09-58-20;14;cross-0500;0,0;right;1;left;21,4119999409
SJW88m;2017-05-17-09-58-20;14;cross-0500;0,0;right;1;down;34,7539999485
SJW88m;2017-05-17-09-58-20;14;cross-0500;0,0;right;1;unclear;53,138999939
SJW88m;2017-05-17-09-58-20;14;cross-0500;0,0;right;1;right;53,6740000248
SJW88m;2017-05-17-09-58-20;14;cross-0500;0,0;right;1;stop;60,003000021
SJW88m;2017-05-17-09-58-20;15;sphere-0500;0,0;right;-1;start;0,0
SJW88m;2017-05-17-09-58-20;15;sphere-0500;0,0;right;-1;left;1,05399990082
SJW88m;2017-05-17-09-58-20;15;sphere-0500;0,0;right;-1;up;12,8779997826
SJW88m;2017-05-17-09-58-20;15;sphere-0500;0,0;right;-1;left;30,4789998531
SJW88m;2017-05-17-09-58-20;15;sphere-0500;0,0;right;-1;up;54,4079999924
SJW88m;2017-05-17-09-58-20;15;sphere-0500;0,0;right;-1;right;59,501999855
SJW88m;2017-05-17-09-58-20;15;sphere-0500;0,0;right;-1;stop;60,0029997826
SJW88m;2017-05-17-09-58-20;16;sphere-0500;-0,15;left;1;start;0,0
SJW88m;2017-05-17-09-58-20;16;sphere-0500;-0,15;left;1;right;1,22099995613
SJW88m;2017-05-17-09-58-20;16;sphere-0500;-0,15;left;1;stop;60,001999855
SJW88m;2017-05-17-09-58-20;17;cross-0500;0,15;left;-1;start;0,0
SJW88m;2017-05-17-09-58-20;17;cross-0500;0,15;left;-1;down;1,43899989128
SJW88m;2017-05-17-09-58-20;17;cross-0500;0,15;left;-1;left;6,2650001049
SJW88m;2017-05-17-09-58-20;17;cross-0500;0,15;left;-1;down;9,73799991608
SJW88m;2017-05-17-09-58-20;17;cross-0500;0,15;left;-1;left;29,5769999027
SJW88m;2017-05-17-09-58-20;17;cross-0500;0,15;left;-1;down;49,2320001125
SJW88m;2017-05-17-09-58-20;17;cross-0500;0,15;left;-1;stop;60,003000021
